order_id,date,sku,product_name,quantity,unit_price,revenue,channel,city,customer_email
ORD10001,2026-04-09,SKU001,Wireless Earbuds,2,1499,2998,Mobile App,Mumbai,johnsonjoshua@example.org
ORD10002,2026-04-09,SKU003,Laptop Stand,2,1899,3798,Website,Pune,jillrhodes@example.net
ORD10003,2026-04-09,SKU007,Bluetooth Speaker,1,2499,2499,Website,Mumbai,garzaanthony@example.org
ORD10004,2026-04-09,SKU004,USB-C Cable,1,299,299,Website,Pune,jesseguzman@example.net
ORD10005,2026-04-09,SKU004,USB-C Cable,2,299,598,Flipkart,Mumbai,jennifermiles@example.com
ORD10006,2026-04-09,SKU008,Screen Protector,1,199,199,Website,Kolkata,shaneramirez@example.org
ORD10007,2026-04-09,SKU003,Laptop Stand,1,1899,1899,Amazon,Bangalore,helenpeterson@example.org
ORD10008,2026-04-09,SKU003,Laptop Stand,1,1899,1899,Amazon,Delhi,susanrogers@example.org
ORD10009,2026-04-09,SKU002,Phone Case,1,399,399,Amazon,Kolkata,wdavis@example.net
ORD10010,2026-04-09,SKU006,Power Bank,1,1299,1299,Website,Chennai,lindsay78@example.org
ORD10011,2026-04-09,SKU008,Screen Protector,1,199,199,Flipkart,Delhi,smiller@example.net
ORD10012,2026-04-09,SKU005,Smart Watch,2,4999,9998,Amazon,Pune,barbara10@example.net
ORD10013,2026-04-09,SKU004,USB-C Cable,2,299,598,Website,Chennai,kendragalloway@example.org
ORD10014,2026-04-09,SKU004,USB-C Cable,2,299,598,Website,Kolkata,jamesshawn@example.com
ORD10015,2026-04-09,SKU004,USB-C Cable,2,299,598,Flipkart,Bangalore,mitchellclark@example.com
ORD10016,2026-04-09,SKU008,Screen Protector,1,199,199,Amazon,Mumbai,lynchgeorge@example.net
ORD10017,2026-04-09,SKU006,Power Bank,1,1299,1299,Amazon,Chennai,frankgray@example.net
ORD10018,2026-04-09,SKU002,Phone Case,1,399,399,Mobile App,Pune,gabriellecameron@example.org
ORD10019,2026-04-09,SKU004,USB-C Cable,1,299,299,Flipkart,Bangalore,lydiatrujillo@example.com
ORD10020,2026-04-09,SKU004,USB-C Cable,1,299,299,Website,Mumbai,carl95@example.org
ORD10021,2026-04-09,SKU001,Wireless Earbuds,2,1499,2998,Flipkart,Bangalore,pfoster@example.com
ORD10022,2026-04-09,SKU002,Phone Case,1,399,399,Amazon,Mumbai,josephwright@example.net
ORD10023,2026-04-09,SKU008,Screen Protector,1,199,199,Flipkart,Mumbai,julie69@example.com
ORD10024,2026-04-09,SKU005,Smart Watch,1,4999,4999,Amazon,Chennai,jeffrey28@example.com
ORD10025,2026-04-09,SKU007,Bluetooth Speaker,2,2499,4998,Flipkart,Bangalore,camposmichelle@example.org
ORD10026,2026-04-09,SKU004,USB-C Cable,4,299,1196,Mobile App,Pune,laurahenderson@example.org
ORD10027,2026-04-09,SKU008,Screen Protector,1,199,199,Website,Kolkata,djames@example.net
ORD10028,2026-04-09,SKU002,Phone Case,1,399,399,Mobile App,Kolkata,tasha01@example.net
ORD10029,2026-04-09,SKU007,Bluetooth Speaker,1,2499,2499,Flipkart,Hyderabad,kayla51@example.com
ORD10030,2026-04-09,SKU008,Screen Protector,1,199,199,Website,Chennai,amoore@example.net
ORD10031,2026-04-09,SKU002,Phone Case,1,399,399,Amazon,Kolkata,teresa28@example.org
ORD10032,2026-04-09,SKU006,Power Bank,1,1299,1299,Flipkart,Mumbai,meagan89@example.org
ORD10033,2026-04-09,SKU008,Screen Protector,1,199,199,Amazon,Pune,nathanielmartin@example.net
ORD10034,2026-04-09,SKU003,Laptop Stand,1,1899,1899,Website,Kolkata,georgetracy@example.org
ORD10035,2026-04-09,SKU005,Smart Watch,2,4999,9998,Mobile App,Mumbai,natasha43@example.org
ORD10036,2026-04-09,SKU006,Power Bank,2,1299,2598,Website,Pune,nataliearroyo@example.org
ORD10037,2026-04-09,SKU006,Power Bank,1,1299,1299,Website,Bangalore,wcabrera@example.net
ORD10038,2026-04-09,SKU005,Smart Watch,1,4999,4999,Mobile App,Pune,davidalvarez@example.net
ORD10039,2026-04-09,SKU002,Phone Case,1,399,399,Flipkart,Kolkata,josephbrennan@example.com
ORD10040,2026-04-09,SKU002,Phone Case,4,399,1596,Mobile App,Mumbai,sarahcampos@example.net
ORD10041,2026-04-09,SKU008,Screen Protector,3,199,597,Mobile App,Bangalore,jenniferross@example.net
ORD10042,2026-04-09,SKU007,Bluetooth Speaker,3,2499,7497,Mobile App,Chennai,samuel87@example.org
ORD10043,2026-04-09,SKU005,Smart Watch,1,4999,4999,Amazon,Hyderabad,jeffreymorgan@example.net
ORD10044,2026-04-09,SKU008,Screen Protector,1,199,199,Mobile App,Delhi,briannasmith@example.net
ORD10045,2026-04-09,SKU006,Power Bank,1,1299,1299,Mobile App,Pune,perezrebecca@example.com
ORD10046,2026-04-09,SKU004,USB-C Cable,1,299,299,Website,Mumbai,palmerjoshua@example.com
ORD10047,2026-04-09,SKU002,Phone Case,3,399,1197,Amazon,Delhi,ambercummings@example.net
ORD10048,2026-04-09,SKU004,USB-C Cable,1,299,299,Flipkart,Mumbai,esanchez@example.com
ORD10049,2026-04-09,SKU003,Laptop Stand,2,1899,3798,Flipkart,Mumbai,clintonhopkins@example.com
ORD10050,2026-04-09,SKU008,Screen Protector,2,199,398,Mobile App,Delhi,ujenkins@example.org
ORD10051,2026-04-09,SKU002,Phone Case,1,399,399,Amazon,Hyderabad,brownjessica@example.org
ORD10052,2026-04-09,SKU007,Bluetooth Speaker,1,2499,2499,Website,Chennai,jamesherrera@example.org
ORD10053,2026-04-09,SKU002,Phone Case,1,399,399,Amazon,Kolkata,dwhite@example.org
ORD10054,2026-04-09,SKU002,Phone Case,1,399,399,Mobile App,Pune,ramosmichelle@example.net
ORD10055,2026-04-10,SKU003,Laptop Stand,1,1899,1899,Amazon,Hyderabad,williamsyvette@example.org
ORD10056,2026-04-10,SKU004,USB-C Cable,2,299,598,Website,Hyderabad,housemelinda@example.org
ORD10057,2026-04-10,SKU002,Phone Case,1,399,399,Website,Delhi,ntucker@example.com
ORD10058,2026-04-10,SKU004,USB-C Cable,1,299,299,Flipkart,Hyderabad,martinaaron@example.com
ORD10059,2026-04-10,SKU004,USB-C Cable,2,299,598,Website,Mumbai,sara74@example.com
ORD10060,2026-04-10,SKU007,Bluetooth Speaker,1,2499,2499,Flipkart,Bangalore,smoore@example.org
ORD10061,2026-04-10,SKU008,Screen Protector,1,199,199,Flipkart,Mumbai,rileyamy@example.net
ORD10062,2026-04-10,SKU004,USB-C Cable,1,299,299,Website,Pune,brian97@example.net
ORD10063,2026-04-10,SKU001,Wireless Earbuds,2,1499,2998,Website,Delhi,brianromero@example.org
ORD10064,2026-04-10,SKU008,Screen Protector,1,199,199,Mobile App,Delhi,larsonemma@example.org
ORD10065,2026-04-10,SKU002,Phone Case,2,399,798,Website,Pune,kwilson@example.org
ORD10066,2026-04-10,SKU002,Phone Case,1,399,399,Mobile App,Hyderabad,harveyrobert@example.net
ORD10067,2026-04-10,SKU002,Phone Case,3,399,1197,Mobile App,Pune,sarah35@example.org
ORD10068,2026-04-10,SKU001,Wireless Earbuds,1,1499,1499,Flipkart,Chennai,randy47@example.com
ORD10069,2026-04-10,SKU006,Power Bank,3,1299,3897,Mobile App,Chennai,smithchristine@example.net
ORD10070,2026-04-10,SKU006,Power Bank,1,1299,1299,Flipkart,Mumbai,jonesjason@example.com
ORD10071,2026-04-10,SKU005,Smart Watch,1,4999,4999,Website,Delhi,sarahibarra@example.org
ORD10072,2026-04-10,SKU008,Screen Protector,1,199,199,Website,Delhi,justin78@example.net
ORD10073,2026-04-10,SKU004,USB-C Cable,1,299,299,Mobile App,Bangalore,cheryl80@example.net
ORD10074,2026-04-10,SKU002,Phone Case,2,399,798,Amazon,Bangalore,sarah12@example.com
ORD10075,2026-04-10,SKU003,Laptop Stand,1,1899,1899,Amazon,Pune,prestonjulia@example.org
ORD10076,2026-04-10,SKU001,Wireless Earbuds,1,1499,1499,Amazon,Chennai,juan35@example.org
ORD10077,2026-04-10,SKU002,Phone Case,3,399,1197,Mobile App,Bangalore,william40@example.org
ORD10078,2026-04-10,SKU002,Phone Case,2,399,798,Mobile App,Bangalore,ccalderon@example.org
ORD10079,2026-04-10,SKU005,Smart Watch,1,4999,4999,Amazon,Mumbai,kellie42@example.net
ORD10080,2026-04-10,SKU005,Smart Watch,1,4999,4999,Amazon,Kolkata,barnold@example.net
ORD10081,2026-04-10,SKU001,Wireless Earbuds,1,1499,1499,Flipkart,Kolkata,rodriguezsierra@example.net
ORD10082,2026-04-10,SKU005,Smart Watch,1,4999,4999,Amazon,Kolkata,amydavenport@example.net
ORD10083,2026-04-10,SKU003,Laptop Stand,1,1899,1899,Amazon,Mumbai,russellwilliams@example.com
ORD10084,2026-04-10,SKU008,Screen Protector,1,199,199,Flipkart,Pune,nolanjason@example.org
ORD10085,2026-04-10,SKU001,Wireless Earbuds,1,1499,1499,Mobile App,Pune,gomezanita@example.com
ORD10086,2026-04-10,SKU001,Wireless Earbuds,2,1499,2998,Mobile App,Hyderabad,sarayoung@example.org
ORD10087,2026-04-10,SKU003,Laptop Stand,1,1899,1899,Amazon,Kolkata,nicolejohnson@example.net
ORD10088,2026-04-10,SKU001,Wireless Earbuds,2,1499,2998,Mobile App,Chennai,kimberly63@example.com
ORD10089,2026-04-10,SKU004,USB-C Cable,1,299,299,Amazon,Kolkata,kristinrodriguez@example.org
ORD10090,2026-04-10,SKU007,Bluetooth Speaker,4,2499,9996,Mobile App,Mumbai,dwalker@example.com
ORD10091,2026-04-10,SKU003,Laptop Stand,4,1899,7596,Mobile App,Hyderabad,lori33@example.org
ORD10092,2026-04-10,SKU001,Wireless Earbuds,1,1499,1499,Amazon,Kolkata,raymondramirez@example.org
ORD10093,2026-04-10,SKU007,Bluetooth Speaker,2,2499,4998,Mobile App,Bangalore,michael86@example.net
ORD10094,2026-04-10,SKU003,Laptop Stand,2,1899,3798,Website,Hyderabad,sheila14@example.org
